facility,type,address,url
ahs,bacnetAgent,A0C00FA,
bancroft-13,bacnetAgent,A0C8457,
bancroft-16,bacnetAgent,A0C8E2A,
bancroft-17,bacnetAgent,A0C8C01,
bancroft-18,bacnetAgent,A0C8061,
doherty,bacnetAgent,A0C48FA,
highplain-11,bacnetAgent,A0CD0FA,
mhl,bacnetAgent,A0D1834,
oldtown,bacnetAgent,A0C5438,
ps,bacnetAgent,C0A8014F,
sanborn,bacnetAgent,A0C90FA,
shawsheen,bacnetAgent,A0CA0FA,
south,bacnetAgent,A0CB0FA,
toa,bacnetAgent,A0C6042,
west_elementary,bacnetAgent,A0CC0FA,
west_middle-12,bacnetAgent,A0C50FA,
westfire,bacnetAgent,A0C9015,
woodhill-09,bacnetAgent,A0C60FA,
woodhill-10,bacnetAgent,A0C60FB,
youthcenter,bacnetAgent,A0C5255,
ahs-ws,weatherStation,,"https://owc.enterprise.earthnetworks.com/Data/GetData.ashx?dt=o&pi=3&si=ANSHS&locstr=42.65998,-71.15531&units=english&verbose=true"
